['912', '628', '278', '87', '217', '776', '465', '489', '823', '200', '21', '639', '931', '979', '864', '298', '269', '703', '305', '967']
['530', '39', '495', '558', '653', '681', '932', '554', '387', '995', '745', '982', '288', '486', '763', '561', '542', '789', '107', '570']
['18', '739', '497', '698', '882', '439', '446', '562', '994', '361', '71', '257', '334', '180', '760', '923', '447', '128', '505', '588']
['402', '355', '785', '757', '701', '506', '897', '886', '436', '7', '772', '758', '154', '150', '467', '286', '193', '822', '11', '93']
['351', '666', '672', '268', '582', '273', '544', '61', '846', '659', '991', '812', '849', '754', '512', '724', '24', '224', '813', '16']
['632', '369', '492', '365', '924', '920', '831', '535', '62', '212', '261', '645', '168', '475', '20', '821', '521', '670', '710', '237']
['537', '792', '536', '466', '694', '389', '526', '192', '515', '83', '259', '956', '683', '471', '254', '315', '508', '362', '236', '616']
['391', '487', '30', '405', '226', '234', '245', '783', '77', '296', '605', '993', '451', '287', '552', '615', '664', '197', '811', '958']
['949', '981', '414', '158', '171', '771', '975', '380', '274', '612', '250', '56', '761', '90', '141', '147', '954', '945', '589', '566']
['910', '516', '214', '834', '863', '206', '262', '630', '375', '63', '325', '453', '540', '388', '716', '373', '782', '332', '190', '843']
['442', '151', '877', '768', '256', '165', '940', '955', '899', '117', '971', '722', '671', '572', '300', '51', '930', '752', '867', '621']
['656', '408', '660', '472', '258', '476', '448', '459', '52', '543', '532', '547', '854', '469', '320', '842', '609', '72', '392', '943']
['836', '350', '378', '749', '934', '295', '509', '302', '507', '623', '549', '265', '425', '455', '688', '329', '729', '848', '169', '452']
['634', '188', '444', '370', '814', '294', '303', '291', '887', '556', '47', '668', '907', '27', '744', '919', '417', '440', '538', '344']
['112', '852', '529', '126', '99', '173', '255', '817', '686', '762', '926', '567', '539', '175', '338', '751', '947', '130', '568', '948']
['580', '775', '726', '45', '957', '860', '665', '203', '48', '133', '2', '91', '718', '794', '232', '139', '917', '348', '260', '676']
['550', '352', '177', '422', '463', '277', '0', '637', '797', '187', '631', '599', '86', '323', '111', '26', '835', '110', '885', '186']
['280', '638', '825', '987', '115', '606', '661', '238', '419', '123', '904', '335', '89', '742', '986', '3', '965', '840', '868', '708']
['869', '657', '149', '662', '385', '866', '160', '198', '32', '12', '629', '880', '431', '781', '384', '964', '778', '624', '406', '640']
['725', '457', '66', '159', '693', '252', '316', '999', '548', '481', '450', '642', '915', '862', '555', '434', '918', '75', '333', '445']
['571', '590', '715', '464', '803', '397', '1', '800', '135', '449', '889', '546', '220', '600', '721', '210', '989', '865', '137', '34']
['76', '181', '830', '400', '587', '795', '109', '485', '67', '974', '415', '613', '720', '491', '959', '911', '500', '809', '390', '675']
['747', '312', '461', '519', '575', '349', '684', '337', '347', '594', '597', '420', '914', '136', '155', '927', '990', '360', '810', '984']
['79', '801', '741', '266', '807', '156', '890', '774', '704', '577', '53', '963', '33', '359', '905', '788', '328', '357', '913', '502']
['702', '68', '69', '207', '299', '331', '213', '705', '933', '372', '706', '685', '962', '25', '437', '353', '601', '617', '199', '859']
['121', '976', '228', '82', '233', '700', '407', '691', '635', '730', '707', '170', '592', '240', '473', '673', '522', '941', '853', '289']
['42', '837', '928', '514', '148', '196', '714', '870', '805', '14', '218', '215', '734', '178', '748', '574', '593', '60', '586', '652']
['961', '711', '281', '513', '98', '953', '470', '209', '454', '796', '651', '689', '946', '740', '827', '267', '247', '432', '528', '534']
['368', '189', '607', '647', '78', '223', '773', '345', '366', '690', '777', '201', '819', '22', '988', '336', '884', '569', '340', '423']
['633', '356', '285', '523', '564', '650', '241', '363', '581', '230', '678', '499', '309', '680', '857', '468', '81', '829', '5', '80']
['655', '533', '799', '416', '122', '146', '35', '272', '304', '330', '925', '54', '131', '603', '157', '674', '249', '4', '164', '191']
['874', '36', '790', '185', '271', '709', '483', '306', '618', '755', '84', '195', '57', '92', '839', '641', '326', '421', '820', '456']
['898', '909', '478', '40', '687', '8', '494', '973', '114', '894', '713', '292', '643', '73', '116', '339', '222', '163', '560', '100']
