['KRWXO', 'EADHZ', 'BPLLS', 'MEKWP', 'FGDHQ']
['WDGCR', 'SEYUH', 'LIGPC', 'ACMPF', 'ZQDIP']
['NLRBO', 'HNXEZ', 'WWYEF', 'TUSMK', 'ERQBP']
['PABIC', 'JEBNF', 'CIILB', 'CCNPM', 'WTGUO']
['VYDDY', 'TAHXC', 'CBNUD', 'GZQDO', 'MTCGB']
['WHRVK', 'DFVZW', 'VNVFZ', 'JTHWI', 'GVYUW']
['ZJQQO', 'KPECP', 'MRXML', 'TFGVT', 'DKSJV']
['CQBIT', 'CPTCX', 'IAADS', 'RUGKU', 'GICKM']
['INTFC', 'UDTFQ', 'YJCIZ', 'UGKUC', 'PKBGA']
['PLFWC', 'LYGHF', 'NUSHB', 'DBIOJ', 'JHGWB']
['FXFUX', 'DSUJE', 'DUAEB', 'YBAFX', 'VIPLF']
['ZJPJO', 'CFMPM', 'GNCHO', 'VSPLU', 'QGRPC']
['TEFPC', 'KXUES', 'APXMD', 'OTQON', 'YQSUZ']
['IKHTD', 'EYFRR', 'QPVND', 'TKYGG', 'SRFIJ']
['GCQTP', 'MWVBQ', 'MIKDS', 'GBGAG', 'BEIFF']
['RCZHM', 'OVYUV', 'YWPLR', 'CIOFH', 'JMYIA']
['WJIWZ', 'YORBA', 'IZZTZ', 'HWSJL', 'NDLFM']
['WUTXG', 'PXCKJ', 'VBRPO', 'KGIPC', 'YQPNL']
['NSDMC', 'UCQZE', 'FXUHH', 'RMUXW', 'UQKOV']
['BVCTY', 'CSQHY', 'GUDYJ', 'ZYPEK', 'OVYDG']
['NHQWU', 'CKHRK', 'KDZKT', 'ZRVWH', 'XEEVL']
['RQZPM', 'SGTRH', 'FBWOW', 'VGUGP', 'OUQMM']
['OSLVS', 'OCOQX', 'ZNMAJ', 'VFFHE', 'BPZOY']
['RURLC', 'SGRXP', 'UZKCN', 'CKFJL', 'CVNCZ']
['VTOZN', 'NVSYK', 'UCLPW', 'HNKDE', 'VPSEI']
['ORRXP', 'RUYNY', 'QYWKX', 'OJGET', 'AGDTK']
['TFWCC', 'DVRRV', 'TNZEA', 'XXFSV', 'TAIVA']
['VVCGQ', 'ARMIC', 'IZMEQ', 'DSQUZ', 'AWUBI']
['RFWKF', 'IAMKK', 'ERTVL', 'KCHSD', 'RJDRX']
['QCRLR', 'KSCIB', 'KXMSB', 'QBZQQ', 'MESKQ']
